,name,categories,latitude,longitude
0,Charred,BBQ Joint,43.259125842121065,-79.87721174955368
1,Booster Juice,Juice Bar,43.259125842121065,-79.87721174955368
2,Lou Dawg's Southern Bbq,BBQ Joint,43.259125842121065,-79.87721174955368
3,Freshly Squeezed,Juice Bar,43.259125842121065,-79.87721174955368
4,Saltlick Smokehouse,BBQ Joint,43.259125842121065,-79.87721174955368
5,Big Scoops,Ice Cream Parlor,43.259125842121065,-79.87721174955368
6,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.259125842121065,-79.87721174955368
7,K W BBQ Kitchen,BBQ Joint,43.259125842121065,-79.87721174955368
8,Willard's Ice Cream,Ice Cream Parlor,43.259125842121065,-79.87721174955368
9,Charred,BBQ Joint,43.269288276229105,-79.87132698297499
10,Saltlick Smokehouse,BBQ Joint,43.269288276229105,-79.87132698297499
11,Bayfront Park Beach Area,Beach,43.269288276229105,-79.87132698297499
12,K W BBQ Kitchen,BBQ Joint,43.269288276229105,-79.87132698297499
13,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.269288276229105,-79.87132698297499
14,Charred,BBQ Joint,43.26785864558976,-79.8679232597351
15,Saltlick Smokehouse,BBQ Joint,43.26785864558976,-79.8679232597351
16,Bayfront Park Beach Area,Beach,43.26785864558976,-79.8679232597351
17,K W BBQ Kitchen,BBQ Joint,43.26785864558976,-79.8679232597351
18,Charred,BBQ Joint,43.263198441574474,-79.87180307507515
19,Saltlick Smokehouse,BBQ Joint,43.263198441574474,-79.87180307507515
20,Booster Juice,Juice Bar,43.263198441574474,-79.87180307507515
21,Saltlick Smokehouse,BBQ Joint,43.263198441574474,-79.87180307507515
22,Freshly Squeezed,Juice Bar,43.263198441574474,-79.87180307507515
23,Lou Dawg's Southern Bbq,BBQ Joint,43.263198441574474,-79.87180307507515
24,Bayfront Park Beach Area,Beach,43.263198441574474,-79.87180307507515
25,Willard's Ice Cream,Ice Cream Parlor,43.263198441574474,-79.87180307507515
26,K W BBQ Kitchen,BBQ Joint,43.263198441574474,-79.87180307507515
27,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.263198441574474,-79.87180307507515
28,Charred,BBQ Joint,43.2561324863605,-79.8744987564414
29,Booster Juice,Juice Bar,43.2561324863605,-79.8744987564414
30,Freshly Squeezed,Juice Bar,43.2561324863605,-79.8744987564414
31,Saltlick Smokehouse,BBQ Joint,43.2561324863605,-79.8744987564414
32,Lou Dawg's Southern Bbq,BBQ Joint,43.2561324863605,-79.8744987564414
33,Big Scoops,Ice Cream Parlor,43.2561324863605,-79.8744987564414
34,Willard's Ice Cream,Ice Cream Parlor,43.2561324863605,-79.8744987564414
35,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.2561324863605,-79.8744987564414
36,K W BBQ Kitchen,BBQ Joint,43.2561324863605,-79.8744987564414
37,Booster Juice,Juice Bar,43.2538302267771,-79.8753935613187
38,Big Scoops,Ice Cream Parlor,43.2538302267771,-79.8753935613187
39,Lou Dawg's Southern Bbq,BBQ Joint,43.2538302267771,-79.8753935613187
40,Freshly Squeezed,Juice Bar,43.2538302267771,-79.8753935613187
41,Saltlick Smokehouse,BBQ Joint,43.2538302267771,-79.8753935613187
42,Willard's Ice Cream,Ice Cream Parlor,43.2538302267771,-79.8753935613187
43,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.2538302267771,-79.8753935613187
44,K W BBQ Kitchen,BBQ Joint,43.2538302267771,-79.8753935613187
45,Booster Juice,Juice Bar,43.2496354495324,-79.8720555723035
46,Big Scoops,Ice Cream Parlor,43.2496354495324,-79.8720555723035
47,Freshly Squeezed,Juice Bar,43.2496354495324,-79.8720555723035
48,Willard's Ice Cream,Ice Cream Parlor,43.2496354495324,-79.8720555723035
49,Charred,BBQ Joint,43.26456372689135,-79.8777937889099
50,Saltlick Smokehouse,BBQ Joint,43.26456372689135,-79.8777937889099
51,Lou Dawg's Southern Bbq,BBQ Joint,43.26456372689135,-79.8777937889099
52,Bayfront Park Beach Area,Beach,43.26456372689135,-79.8777937889099
53,Saltlick Smokehouse,BBQ Joint,43.26456372689135,-79.8777937889099
54,K W BBQ Kitchen,BBQ Joint,43.26456372689135,-79.8777937889099
55,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.26456372689135,-79.8777937889099
56,Charred,BBQ Joint,43.2618861338306,-79.877606006297
57,Saltlick Smokehouse,BBQ Joint,43.2618861338306,-79.877606006297
58,Booster Juice,Juice Bar,43.2618861338306,-79.877606006297
59,Lou Dawg's Southern Bbq,BBQ Joint,43.2618861338306,-79.877606006297
60,Saltlick Smokehouse,BBQ Joint,43.2618861338306,-79.877606006297
61,Freshly Squeezed,Juice Bar,43.2618861338306,-79.877606006297
62,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.2618861338306,-79.877606006297
63,K W BBQ Kitchen,BBQ Joint,43.2618861338306,-79.877606006297
64,Willard's Ice Cream,Ice Cream Parlor,43.2618861338306,-79.877606006297
65,Charred,BBQ Joint,43.257877862291,-79.8561337635964
66,Booster Juice,Juice Bar,43.26271404114188,-79.91580605506897
67,Yogurty's,Frozen Yogurt Shop,43.26271404114188,-79.91580605506897
68,TCBY,Frozen Yogurt Shop,43.26271404114188,-79.91580605506897
69,Willy Dog McMaster,BBQ Joint,43.26271404114188,-79.91580605506897
70,The Parlour Dairy Bar,Ice Cream Parlor,43.25112644429895,-79.82740849256516
71,Lou Dawg's Southern Bbq,BBQ Joint,43.2540651616154,-79.8819466027797
72,Big Scoops,Ice Cream Parlor,43.2540651616154,-79.8819466027797
73,Willard's Ice Cream,Ice Cream Parlor,43.2540651616154,-79.8819466027797
74,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.2540651616154,-79.8819466027797
75,K W BBQ Kitchen,BBQ Joint,43.2540651616154,-79.8819466027797
76,Booster Juice,Juice Bar,43.255383107655966,-79.87889617681503
77,Lou Dawg's Southern Bbq,BBQ Joint,43.255383107655966,-79.87889617681503
78,Big Scoops,Ice Cream Parlor,43.255383107655966,-79.87889617681503
79,Freshly Squeezed,Juice Bar,43.255383107655966,-79.87889617681503
80,Saltlick Smokehouse,BBQ Joint,43.255383107655966,-79.87889617681503
81,Willard's Ice Cream,Ice Cream Parlor,43.255383107655966,-79.87889617681503
82,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.255383107655966,-79.87889617681503
83,K W BBQ Kitchen,BBQ Joint,43.255383107655966,-79.87889617681503
84,The Parlour Dairy Bar,Ice Cream Parlor,43.24634382646498,-79.82685998082161
85,Lou Dawg's Southern Bbq,BBQ Joint,43.2628018805713,-79.8827367298478
86,K W BBQ Kitchen,BBQ Joint,43.2628018805713,-79.8827367298478
87,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.2628018805713,-79.8827367298478
88,Lou Dawg's Southern Bbq,BBQ Joint,43.2659146108256,-79.8819495909127
89,Bayfront Park Beach Area,Beach,43.2659146108256,-79.8819495909127
90,K W BBQ Kitchen,BBQ Joint,43.2659146108256,-79.8819495909127
91,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.2659146108256,-79.8819495909127
92,Lou Dawg's Southern Bbq,BBQ Joint,43.26240933566922,-79.88798081874847
93,K W BBQ Kitchen,BBQ Joint,43.26240933566922,-79.88798081874847
94,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.26240933566922,-79.88798081874847
95,Lou Dawg's Southern Bbq,BBQ Joint,43.25966301112219,-79.8892092704773
96,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.25966301112219,-79.8892092704773
97,K W BBQ Kitchen,BBQ Joint,43.25966301112219,-79.8892092704773
98,Booster Juice,Juice Bar,43.262460120020584,-79.92224670946598
99,Yogurty's,Frozen Yogurt Shop,43.262460120020584,-79.92224670946598
100,Willy Dog McMaster,BBQ Joint,43.262460120020584,-79.92224670946598
101,Booster Juice,Juice Bar,43.26053126154136,-79.91824820637703
102,Yogurty's,Frozen Yogurt Shop,43.26053126154136,-79.91824820637703
103,TCBY,Frozen Yogurt Shop,43.26053126154136,-79.91824820637703
104,Willy Dog McMaster,BBQ Joint,43.26053126154136,-79.91824820637703
105,Booster Juice,Juice Bar,43.2599690032886,-79.922358671032
106,Yogurty's,Frozen Yogurt Shop,43.2599690032886,-79.922358671032
107,Willy Dog McMaster,BBQ Joint,43.2599690032886,-79.922358671032
108,Booster Juice,Juice Bar,43.258038792898375,-79.91978779435158
109,Yogurty's,Frozen Yogurt Shop,43.258038792898375,-79.91978779435158
110,Willy Dog McMaster,BBQ Joint,43.258038792898375,-79.91978779435158
111,TCBY,Frozen Yogurt Shop,43.2662112220324,-79.8993094512
112,TCBY,Frozen Yogurt Shop,43.2630174571678,-79.9009418422827
113,TCBY,Frozen Yogurt Shop,43.25656885270854,-79.9011692404747
114,TCBY,Frozen Yogurt Shop,43.2621672804245,-79.8964982026467
115,Jax Sweet Shoppe,Bakery,43.26547419149645,-79.94765996932983
116,Lou Dawg's Southern Bbq,BBQ Joint,43.25650634283747,-79.88345324993132
117,Willard's Ice Cream,Ice Cream Parlor,43.25650634283747,-79.88345324993132
118,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.25650634283747,-79.88345324993132
119,K W BBQ Kitchen,BBQ Joint,43.25650634283747,-79.88345324993132
120,Yogurty's,Frozen Yogurt Shop,43.2546745875963,-79.9208028150996
121,Willy Dog McMaster,BBQ Joint,43.2546745875963,-79.9208028150996
122,Booster Juice,Juice Bar,43.26201477888108,-79.90508794784544
123,TCBY,Frozen Yogurt Shop,43.26201477888108,-79.90508794784544
124,TCBY,Frozen Yogurt Shop,43.262715994377196,-79.90359663963316
125,Yogurty's,Frozen Yogurt Shop,43.2521423210113,-79.9222158171462
126,Booster Juice,Juice Bar,43.2622271626907,-79.9133658840373
127,TCBY,Frozen Yogurt Shop,43.2622271626907,-79.9133658840373
128,Yogurty's,Frozen Yogurt Shop,43.2622271626907,-79.9133658840373
129,Willy Dog McMaster,BBQ Joint,43.2622271626907,-79.9133658840373
130,Booster Juice,Juice Bar,43.26202552179778,-79.91026729345322
131,TCBY,Frozen Yogurt Shop,43.26202552179778,-79.91026729345322
132,Yogurty's,Frozen Yogurt Shop,43.26202552179778,-79.91026729345322
133,Willy Dog McMaster,BBQ Joint,43.26202552179778,-79.91026729345322
134,Booster Juice,Juice Bar,43.2599031676959,-79.9264810904732
135,Yogurty's,Frozen Yogurt Shop,43.2599031676959,-79.9264810904732
136,Booster Juice,Juice Bar,43.2599031676959,-79.9264810904732
137,Baskin-Robbins,Ice Cream Parlor,43.2599031676959,-79.9264810904732
138,Willy Dog McMaster,BBQ Joint,43.2599031676959,-79.9264810904732
139,Booster Juice,Juice Bar,43.2605367847852,-79.9092948353051
140,TCBY,Frozen Yogurt Shop,43.2605367847852,-79.9092948353051
141,Yogurty's,Frozen Yogurt Shop,43.2605367847852,-79.9092948353051
142,Willy Dog McMaster,BBQ Joint,43.2605367847852,-79.9092948353051
143,Yogurty's,Frozen Yogurt Shop,43.2535916384655,-79.9166152756283
144,TCBY,Frozen Yogurt Shop,43.2585671813327,-79.90785866975784
145,Yogurty's,Frozen Yogurt Shop,43.2585671813327,-79.90785866975784
146,Jax Sweet Shoppe,Bakery,43.26595632543361,-79.95375394821166
147,Booster Juice,Juice Bar,43.25343546641674,-79.86948698759079
148,Big Scoops,Ice Cream Parlor,43.25343546641674,-79.86948698759079
149,Freshly Squeezed,Juice Bar,43.25343546641674,-79.86948698759079
150,Saltlick Smokehouse,BBQ Joint,43.25343546641674,-79.86948698759079
151,Lou Dawg's Southern Bbq,BBQ Joint,43.25343546641674,-79.86948698759079
152,Willard's Ice Cream,Ice Cream Parlor,43.25343546641674,-79.86948698759079
153,Booster Juice,Juice Bar,43.2515957745917,-79.8749090863127
154,Big Scoops,Ice Cream Parlor,43.2515957745917,-79.8749090863127
155,Freshly Squeezed,Juice Bar,43.2515957745917,-79.8749090863127
156,Lou Dawg's Southern Bbq,BBQ Joint,43.2515957745917,-79.8749090863127
157,Saltlick Smokehouse,BBQ Joint,43.2515957745917,-79.8749090863127
158,Willard's Ice Cream,Ice Cream Parlor,43.2515957745917,-79.8749090863127
159,Booster Juice,Juice Bar,43.25802547698811,-79.91383865476678
160,Yogurty's,Frozen Yogurt Shop,43.25802547698811,-79.91383865476678
161,TCBY,Frozen Yogurt Shop,43.25802547698811,-79.91383865476678
162,Willy Dog McMaster,BBQ Joint,43.25802547698811,-79.91383865476678
163,Charred,BBQ Joint,43.254529435061336,-79.86718028783798
164,Saltlick Smokehouse,BBQ Joint,43.254529435061336,-79.86718028783798
165,Booster Juice,Juice Bar,43.254529435061336,-79.86718028783798
166,Big Scoops,Ice Cream Parlor,43.254529435061336,-79.86718028783798
167,Freshly Squeezed,Juice Bar,43.254529435061336,-79.86718028783798
168,Saltlick Smokehouse,BBQ Joint,43.254529435061336,-79.86718028783798
169,Willard's Ice Cream,Ice Cream Parlor,43.254529435061336,-79.86718028783798
170,Baskin-Robbins,Ice Cream Parlor,43.2572539435115,-79.9342255404988
171,Booster Juice,Juice Bar,43.2572539435115,-79.9342255404988
172,Booster Juice,Juice Bar,43.25205234935895,-79.93979036808014
173,Baskin-Robbins,Ice Cream Parlor,43.25205234935895,-79.93979036808014
174,Baskin-Robbins,Ice Cream Parlor,43.2595496051254,-79.9426434441838
175,Booster Juice,Juice Bar,43.2595496051254,-79.9426434441838
176,Booster Juice,Juice Bar,43.25875372772543,-79.92979913949966
177,Baskin-Robbins,Ice Cream Parlor,43.25875372772543,-79.92979913949966
178,Yogurty's,Frozen Yogurt Shop,43.25875372772543,-79.92979913949966
179,Booster Juice,Juice Bar,43.2518522355378,-79.9354198942367
180,Baskin-Robbins,Ice Cream Parlor,43.2518522355378,-79.9354198942367
181,Charred,BBQ Joint,43.26181945279216,-79.86674308776855
182,Saltlick Smokehouse,BBQ Joint,43.26181945279216,-79.86674308776855
183,Booster Juice,Juice Bar,43.26181945279216,-79.86674308776855
184,Saltlick Smokehouse,BBQ Joint,43.26181945279216,-79.86674308776855
185,Freshly Squeezed,Juice Bar,43.26181945279216,-79.86674308776855
186,Willard's Ice Cream,Ice Cream Parlor,43.26181945279216,-79.86674308776855
187,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.26181945279216,-79.86674308776855
188,K W BBQ Kitchen,BBQ Joint,43.26181945279216,-79.86674308776855
189,Charred,BBQ Joint,43.256316859398744,-79.86866354942322
190,Saltlick Smokehouse,BBQ Joint,43.256316859398744,-79.86866354942322
191,Booster Juice,Juice Bar,43.256316859398744,-79.86866354942322
192,Freshly Squeezed,Juice Bar,43.256316859398744,-79.86866354942322
193,Saltlick Smokehouse,BBQ Joint,43.256316859398744,-79.86866354942322
194,Big Scoops,Ice Cream Parlor,43.256316859398744,-79.86866354942322
195,Lou Dawg's Southern Bbq,BBQ Joint,43.256316859398744,-79.86866354942322
196,Willard's Ice Cream,Ice Cream Parlor,43.256316859398744,-79.86866354942322
197,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.256316859398744,-79.86866354942322
198,Big Scoops,Ice Cream Parlor,43.2494985579078,-79.859726111821
199,Booster Juice,Juice Bar,43.2523698048509,-79.86883386969566
200,Big Scoops,Ice Cream Parlor,43.2523698048509,-79.86883386969566
201,Freshly Squeezed,Juice Bar,43.2523698048509,-79.86883386969566
202,Saltlick Smokehouse,BBQ Joint,43.2523698048509,-79.86883386969566
203,Willard's Ice Cream,Ice Cream Parlor,43.2523698048509,-79.86883386969566
204,Saltlick Smokehouse,BBQ Joint,43.272362258983364,-79.86627101898192
205,Scoops Ice Cream Hut,Ice Cream Parlor,43.272362258983364,-79.86627101898192
206,Bayfront Park Beach Area,Beach,43.272362258983364,-79.86627101898192
207,Hamilton Waterfront Scoops,Ice Cream Parlor,43.272362258983364,-79.86627101898192
208,Booster Juice,Juice Bar,43.2554850097816,-79.9298771288198
209,Baskin-Robbins,Ice Cream Parlor,43.2554850097816,-79.9298771288198
210,Yogurty's,Frozen Yogurt Shop,43.2554850097816,-79.9298771288198
211,Lou Dawg's Southern Bbq,BBQ Joint,43.25672417073905,-79.88822355870525
212,The Parlour Dairy Bar,Ice Cream Parlor,43.2475653052787,-79.8180502653122
213,Baskin-Robbins,Ice Cream Parlor,43.2475653052787,-79.8180502653122
214,Charred,BBQ Joint,43.25911119199103,-79.86361294984816
215,Saltlick Smokehouse,BBQ Joint,43.25911119199103,-79.86361294984816
216,Booster Juice,Juice Bar,43.25911119199103,-79.86361294984816
217,Saltlick Smokehouse,BBQ Joint,43.25911119199103,-79.86361294984816
218,Freshly Squeezed,Juice Bar,43.25911119199103,-79.86361294984816
219,Willard's Ice Cream,Ice Cream Parlor,43.25911119199103,-79.86361294984816
220,Charred,BBQ Joint,43.25901059433612,-79.86919194459914
221,Saltlick Smokehouse,BBQ Joint,43.25901059433612,-79.86919194459914
222,Booster Juice,Juice Bar,43.25901059433612,-79.86919194459914
223,Saltlick Smokehouse,BBQ Joint,43.25901059433612,-79.86919194459914
224,Freshly Squeezed,Juice Bar,43.25901059433612,-79.86919194459914
225,Lou Dawg's Southern Bbq,BBQ Joint,43.25901059433612,-79.86919194459914
226,Big Scoops,Ice Cream Parlor,43.25901059433612,-79.86919194459914
227,Willard's Ice Cream,Ice Cream Parlor,43.25901059433612,-79.86919194459914
228,Cho Sun Ok Korean BBQ Restaurant,BBQ Joint,43.25901059433612,-79.86919194459914
229,K W BBQ Kitchen,BBQ Joint,43.25901059433612,-79.86919194459914
230,Booster Juice,Juice Bar,43.26462232214244,-79.91868138313293
231,Yogurty's,Frozen Yogurt Shop,43.26462232214244,-79.91868138313293
232,TCBY,Frozen Yogurt Shop,43.26462232214244,-79.91868138313293
233,Willy Dog McMaster,BBQ Joint,43.26462232214244,-79.91868138313293
234,The Parlour Dairy Bar,Ice Cream Parlor,43.252910500996364,-79.82217215001583
235,Baskin-Robbins,Ice Cream Parlor,43.252910500996364,-79.82217215001583
236,The Parlour Dairy Bar,Ice Cream Parlor,43.25147804372769,-79.81602117419243
237,Baskin-Robbins,Ice Cream Parlor,43.25147804372769,-79.81602117419243
238,Charred,BBQ Joint,43.25519606248058,-79.86437804996967
239,Saltlick Smokehouse,BBQ Joint,43.25519606248058,-79.86437804996967
240,Booster Juice,Juice Bar,43.25519606248058,-79.86437804996967
241,Freshly Squeezed,Juice Bar,43.25519606248058,-79.86437804996967
242,Saltlick Smokehouse,BBQ Joint,43.25519606248058,-79.86437804996967
243,Big Scoops,Ice Cream Parlor,43.25519606248058,-79.86437804996967
244,Willard's Ice Cream,Ice Cream Parlor,43.25519606248058,-79.86437804996967
245,Charred,BBQ Joint,43.2551792486624,-79.8614431097373
246,Saltlick Smokehouse,BBQ Joint,43.2551792486624,-79.8614431097373
247,Booster Juice,Juice Bar,43.2551792486624,-79.8614431097373
248,Freshly Squeezed,Juice Bar,43.2551792486624,-79.8614431097373
249,Saltlick Smokehouse,BBQ Joint,43.2551792486624,-79.8614431097373
250,Big Scoops,Ice Cream Parlor,43.2551792486624,-79.8614431097373
251,Willard's Ice Cream,Ice Cream Parlor,43.2551792486624,-79.8614431097373
252,Charred,BBQ Joint,43.2587508364231,-79.8598228455297
253,Saltlick Smokehouse,BBQ Joint,43.2587508364231,-79.8598228455297
254,Booster Juice,Juice Bar,43.2587508364231,-79.8598228455297
255,Saltlick Smokehouse,BBQ Joint,43.2587508364231,-79.8598228455297
256,Freshly Squeezed,Juice Bar,43.2587508364231,-79.8598228455297
257,Booster Juice,Juice Bar,43.2492552510953,-79.8641461491451
258,Big Scoops,Ice Cream Parlor,43.2492552510953,-79.8641461491451
259,Freshly Squeezed,Juice Bar,43.2492552510953,-79.8641461491451
260,Willard's Ice Cream,Ice Cream Parlor,43.2492552510953,-79.8641461491451
261,Booster Juice,Juice Bar,43.251798383773966,-79.86318781971931
262,Big Scoops,Ice Cream Parlor,43.251798383773966,-79.86318781971931
263,Freshly Squeezed,Juice Bar,43.251798383773966,-79.86318781971931
264,Saltlick Smokehouse,BBQ Joint,43.251798383773966,-79.86318781971931
265,Willard's Ice Cream,Ice Cream Parlor,43.251798383773966,-79.86318781971931
266,Booster Juice,Juice Bar,43.26471509784132,-79.91574570536613
267,Yogurty's,Frozen Yogurt Shop,43.26471509784132,-79.91574570536613
268,TCBY,Frozen Yogurt Shop,43.26471509784132,-79.91574570536613
269,Willy Dog McMaster,BBQ Joint,43.26471509784132,-79.91574570536613
270,Booster Juice,Juice Bar,43.25281814686537,-79.86008584499359
271,Big Scoops,Ice Cream Parlor,43.25281814686537,-79.86008584499359
272,Freshly Squeezed,Juice Bar,43.25281814686537,-79.86008584499359
273,Booster Juice,Juice Bar,43.26274333966465,-79.91714715957642
274,Yogurty's,Frozen Yogurt Shop,43.26274333966465,-79.91714715957642
